name;bfs_n;bfs_pp;bfs_t;astar_n;astar_pp;astar_t
phard2;153;21;0.004;127;22;1.078
phard_ssa2;183;21;0.015;76;12;0.744
phard4;506;62;0.013;275;44;2.271
phard_ssa4;618;62;0.020;118;18;1.125
phard8;5200;640;0.081;1025;161;8.531
phard_ssa8;6356;640;0.107;202;30;1.970
phard16;439759;54789;825.022;16643;2580;149.301
phard_ssa16;532089;54789;1258.558;370;54;3.565
